"","au2010","lib2010","cat2010","tau2015","ppltn15","emply15","entrp15","nvntr15","prfss15","intll15","stnserv","emp_diff","entre_diff","new_diff","prof_diff","int_diff","serv_diff","libau2010"
"108",19,"Clermont-Ferrand",112,8,479096,200006,25418,3050,8951,28659,85,3.86217931181818,-5.12124799084059,-9.71998955265754,-8.12538413773733,12.0133180312905,19.3583177604088,"Clermont-Ferrand"
"109",11,"Rennes",112,9,718842,312962,36042,4449,12453,53774,97,7.06877910654828,-12.2117120154547,-16.4886514049902,-18.3677699410742,24.9011865869511,-2.97397946397435,"Rennes"
"110",60,"Chalon-sur-Saône",112,7,133874,54672,6692,721,2521,5174,30,4.78253195958427,-6.55317397029549,-14.0381564652265,1.11050212605592,-1.90901283412259,26.8886253756342,"Chalon-sur-Saône"
"111",51,"Saint-Brieuc",111,7,172279,67908,8906,894,3641,6518,28,0.623994800523953,-4.08814799762283,-20.2075011184231,10.9782685873007,-9.92542150653186,-2.10193730569075,"Saint-Brieuc"
"112",71,"Bourg-en-Bresse",112,7,125973,52688,6713,777,2300,5167,27,7.31812593769003,0.059054084159626,0.117079469996639,-1.57800706454765,5.45860738533079,21.6807191869085,"Bourg-en-Bresse"
"113",80,"Charleville-Mézières",112,7,104765,38985,5044,514,1532,3633,16,-3.91709603024921,-9.43694191571929,-20.9759015751784,-22.5554564036414,-7.02712277125208,-14.4973161978675,"Charleville-Mézières"
"114",58,"Boulogne-sur-Mer",112,7,131558,46908,5628,654,2007,3862,23,-8.74598951309444,-22.0620157778489,-21.8763879746863,-19.8302204458586,-29.002652146033,1.84683931696998,"Boulogne-sur-Mer"
"115",116,"Montélimar",111,6,78458,30427,5510,714,1942,3104,18,0.921394479896698,29.3408294957391,43.6195613895631,31.9902104990248,12.9009435910178,22.6077963238049,"Montélimar"
"116",4,"Toulouse",112,9,1330513,589913,84918,11954,27358,125957,196,7.38381405166333,9.73679982730999,14.7908372781504,-5.3096098787849,34.0779587662036,13.4399610207177,"Toulouse"
"117",126,"Lannion",112,6,64427,22820,3611,420,1508,3818,13,-7.66274076608386,7.48476309254471,12.1771635305908,27.7051573242135,57.906382365132,7.32320441454068,"Lannion"
"118",110,"Draguignan",111,6,85142,32200,6508,861,2328,2738,22,-1.79074391288285,37.5218984949708,53.3694144571186,41.402001274108,-9.72942140015514,35.5138807224431,"Draguignan"
"119",117,"Châtellerault",112,6,70145,26135,3101,359,1131,2061,14,-2.8101658804994,-16.5460227373336,-12.8467099252742,-10.1295423300162,-14.2350450315088,7.28618755774586,"Châtellerault"
"120",6,"Bordeaux",112,9,1212294,518317,84003,13566,28420,82966,204,3.97770345522499,18.2885012227832,37.6514213857101,8.42025843929637,3.80387332443615,25.5906312394713,"Bordeaux"
"121",112,"Menton - Monaco (partie française)",111,6,72760,30410,6699,791,1755,3027,13,8.589701701721,56.6873322271038,62.1344825007831,29.9044607290479,19.6885277668549,-3.33051404689395,"Menton - Monaco (partie française)"
